district_number,district_name,place,total_incidents,total_victims
5D,GERMANTOWN,Laundromat,5,5.0
5D,GERMANTOWN,Library,75,75.0
5D,GERMANTOWN,Liquor Store - Beer & Wine,108,112.0
5D,GERMANTOWN,Liquor Store - County,77,77.0
5D,GERMANTOWN,Nursery,8,8.0
5D,GERMANTOWN,Other/Unknown,4445,4452.0
5D,GERMANTOWN,Park,216,239.0
5D,GERMANTOWN,Parking Garage - Commercial,87,89.0
5D,GERMANTOWN,Parking Garage - County,2,2.0
5D,GERMANTOWN,Parking Garage - Metro,3,3.0
5D,GERMANTOWN,Parking Garage - Other,13,13.0
5D,GERMANTOWN,Parking Garage - Residential,107,108.0
5D,GERMANTOWN,Parking Lot - Church,24,24.0
5D,GERMANTOWN,Parking Lot - Commercial,1467,1520.0
5D,GERMANTOWN,Parking Lot - County,96,101.0
5D,GERMANTOWN,Parking Lot - Metro,17,17.0
5D,GERMANTOWN,Parking Lot - Other,331,344.0
5D,GERMANTOWN,Parking Lot - Park & Ride,39,39.0
5D,GERMANTOWN,Parking Lot - Rec Center,32,32.0
5D,GERMANTOWN,Parking Lot - Residential,4146,4218.0
5D,GERMANTOWN,Parking Lot - School,145,156.0
5D,GERMANTOWN,Pawn Shop,5,5.0
5D,GERMANTOWN,Pool,53,63.0
5D,GERMANTOWN,Recreation Center,92,92.0
5D,GERMANTOWN,Rental Storage Facility,55,56.0
5D,GERMANTOWN,Residence - Apartment/Condo,5484,5936.0
5D,GERMANTOWN,Residence - Apt Ofc/Storage,100,102.0
5D,GERMANTOWN,Residence - Carport,14,14.0
5D,GERMANTOWN,Residence - Driveway,1554,1565.0
5D,GERMANTOWN,Residence - Garage,151,152.0
5D,GERMANTOWN,Residence - Mobile Home,109,118.0
5D,GERMANTOWN,Residence - Nursing Home,87,88.0
5D,GERMANTOWN,Residence - Other,777,780.0
5D,GERMANTOWN,Residence - Shed,55,55.0
5D,GERMANTOWN,Residence - Single Family,5306,5479.0
5D,GERMANTOWN,Residence - Yard,662,704.0
5D,GERMANTOWN,Residence -Townhouse/Duplex,6424,6876.0
5D,GERMANTOWN,Restaurant,784,810.0
5D,GERMANTOWN,Retail - Appliances/Electronics,140,142.0
5D,GERMANTOWN,Retail - Beauty/Barber Shop,50,50.0
5D,GERMANTOWN,Retail - Clothing,591,591.0
5D,GERMANTOWN,Retail - Department/Discount Store,4123,4137.0
5D,GERMANTOWN,Retail - Drug Store/Pharmacy,322,322.0
5D,GERMANTOWN,Retail - Dry Cleaner,12,12.0
5D,GERMANTOWN,Retail - Hardware,231,232.0
5D,GERMANTOWN,Retail - Jewelry,15,15.0
5D,GERMANTOWN,Retail - Mall,339,346.0
5D,GERMANTOWN,Retail - Other,885,887.0
5D,GERMANTOWN,Retail - Salon/Spa,36,36.0
5D,GERMANTOWN,Retail - Sporting Goods,16,16.0
5D,GERMANTOWN,Retail - Video Store,5,5.0
5D,GERMANTOWN,School - College/University,31,31.0
5D,GERMANTOWN,School - Elementary/Secondary,1517,1586.0
5D,GERMANTOWN,School/College - DO NOT USE,1065,1103.0
5D,GERMANTOWN,Shelter-Mission/Homeless,4,4.0
5D,GERMANTOWN,Street - Alley,48,51.0
5D,GERMANTOWN,Street - Bus Stop,325,342.0
5D,GERMANTOWN,Street - Commercial,533,543.0
5D,GERMANTOWN,Street - In vehicle,4468,4518.0
5D,GERMANTOWN,Street - Other,1083,1124.0
5D,GERMANTOWN,Street - Residential,3082,3157.0
5D,GERMANTOWN,Theater,18,19.0
5D,GERMANTOWN,Wooded Area,101,101.0
6D,MONTGOMERY VILLAGE,Abandoned/Condemned Structures,7,7.0
6D,MONTGOMERY VILLAGE,Air/Bus/Train/Metro Terminal,131,140.0
6D,MONTGOMERY VILLAGE,Amusement Park,4,7.0
6D,MONTGOMERY VILLAGE,Arena/Stadium/Fairgrounds/Coliseum,30,34.0
6D,MONTGOMERY VILLAGE,Atm Separate From Bank,5,5.0
6D,MONTGOMERY VILLAGE,Auto Dealership,287,288.0
6D,MONTGOMERY VILLAGE,Auto Repair,149,150.0
6D,MONTGOMERY VILLAGE,Bank - ATM,250,251.0
6D,MONTGOMERY VILLAGE,Bank/S&L/Credit Union,209,209.0
6D,MONTGOMERY VILLAGE,Bar/Night Club,262,297.0
6D,MONTGOMERY VILLAGE,Check Cashing Est.,24,24.0
6D,MONTGOMERY VILLAGE,Church/Synagogue/Temple,142,146.0
6D,MONTGOMERY VILLAGE,Commercial - Industrial park,262,264.0
6D,MONTGOMERY VILLAGE,Commercial - Office Building,826,833.0
6D,MONTGOMERY VILLAGE,Community Center,36,36.0
6D,MONTGOMERY VILLAGE,Construction Site,136,136.0
6D,MONTGOMERY VILLAGE,Convenience Store,531,539.0
6D,MONTGOMERY VILLAGE,Cyberspace,269,269.0
6D,MONTGOMERY VILLAGE,Daycare Facility,17,17.0
6D,MONTGOMERY VILLAGE,Dock/Wharf/Freight/Modal Terminal,1,1.0
